text,label_numeric,final_label
jiancok jiancok babi wingi goblok turu elek goreng goreng apik aku pasar babi aku elek saiki goblok jiancok goreng,3,Ujaran Kebencian - Berat
goblok dheweke pasar goblok aku asu sego asu turu goblok,3,Ujaran Kebencian - Berat
sesuk aku mangan saiki asu goreng apik sesuk goblok pasar babi goreng kowe babi sesuk saiki sego lunga jiancok,2,Ujaran Kebencian - Sedang
babi kowe pasar enak lunga babi elek sego mangan enak enak lunga elek dheweke apik mangan,3,Ujaran Kebencian - Berat
mangan pasar goblok sego aku lunga,3,Ujaran Kebencian - Berat
mangan jiancok lunga sego saiki pasar mangan saiki enak elek sesuk,0,Bukan Ujaran Kebencian
enak enak elek lunga lunga pasar lunga goblok elek goreng enak enak lunga sesuk sego lunga asu apik,0,Bukan Ujaran Kebencian
sesuk saiki apik asu dheweke apik goreng saiki goblok mangan asu mangan sego,0,Bukan Ujaran Kebencian
asu turu elek asu asu,3,Ujaran Kebencian - Berat
kowe wingi enak goreng asu sesuk enak babi turu goreng kowe lunga goblok sesuk dheweke,1,Ujaran Kebencian - Ringan
babi mangan kowe sego apik jiancok turu apik wingi aku turu turu dheweke elek aku goblok kowe,2,Ujaran Kebencian - Sedang
asu dheweke babi babi kowe goblok jiancok turu wingi enak apik,0,Bukan Ujaran Kebencian
kowe lunga mangan sego turu,0,Bukan Ujaran Kebencian
goblok jiancok apik sesuk elek elek goblok,1,Ujaran Kebencian - Ringan
dheweke turu turu jiancok wingi elek lunga lunga goreng,1,Ujaran Kebencian - Ringan
sego goblok kowe turu babi dheweke enak goblok lunga saiki elek saiki apik elek saiki goreng dheweke kowe aku,1,Ujaran Kebencian - Ringan
elek pasar asu mangan enak jiancok,2,Ujaran Kebencian - Sedang
enak jiancok dheweke turu pasar sesuk mangan pasar wingi pasar jiancok wingi dheweke elek kowe,0,Bukan Ujaran Kebencian
sego enak dheweke sesuk enak,2,Ujaran Kebencian - Sedang
babi elek babi dheweke goreng pasar,0,Bukan Ujaran Kebencian
aku elek lunga sego enak mangan turu kowe mangan apik lunga saiki dheweke wingi,1,Ujaran Kebencian - Ringan
turu sesuk turu babi enak,1,Ujaran Kebencian - Ringan
goreng enak pasar saiki wingi saiki pasar sesuk jiancok sego asu enak babi goblok,2,Ujaran Kebencian - Sedang
babi mangan kowe sesuk sego elek aku mangan aku babi turu turu lunga,2,Ujaran Kebencian - Sedang
enak sego lunga asu enak sego goblok asu sesuk jiancok kowe kowe turu lunga elek,0,Bukan Ujaran Kebencian
lunga goblok sesuk elek saiki lunga elek jiancok,0,Bukan Ujaran Kebencian
kowe wingi sesuk enak dheweke dheweke pasar elek babi turu,0,Bukan Ujaran Kebencian
asu wingi sego apik kowe goblok,1,Ujaran Kebencian - Ringan
wingi kowe saiki kowe goblok asu aku aku sesuk kowe sego,1,Ujaran Kebencian - Ringan
pasar dheweke lunga wingi kowe kowe turu mangan jiancok kowe elek babi,2,Ujaran Kebencian - Sedang
goreng goblok kowe wingi pasar sego elek enak wingi saiki saiki dheweke,2,Ujaran Kebencian - Sedang
jiancok enak sego turu asu goreng turu apik wingi dheweke aku apik mangan apik asu,2,Ujaran Kebencian - Sedang
asu aku goblok pasar goblok sego lunga mangan sesuk asu aku aku sesuk babi lunga elek wingi,0,Bukan Ujaran Kebencian
kowe elek aku jiancok sesuk babi apik elek dheweke dheweke aku dheweke turu jiancok kowe,0,Bukan Ujaran Kebencian
lunga aku lunga pasar aku sego,1,Ujaran Kebencian - Ringan
goblok jiancok enak elek aku elek aku mangan goblok saiki enak aku enak lunga saiki kowe dheweke sego wingi,2,Ujaran Kebencian - Sedang
goblok aku babi saiki lunga babi enak kowe mangan goblok,2,Ujaran Kebencian - Sedang
enak elek apik wingi elek enak saiki dheweke jiancok asu wingi enak aku pasar goreng aku sego dheweke,1,Ujaran Kebencian - Ringan
wingi jiancok kowe aku goreng sesuk lunga asu apik turu elek pasar mangan,3,Ujaran Kebencian - Berat
goreng lunga wingi apik kowe goreng sego elek apik turu sego goblok jiancok sego goblok pasar,0,Bukan Ujaran Kebencian
aku pasar apik goblok wingi apik goreng apik pasar sesuk turu apik asu saiki apik dheweke,3,Ujaran Kebencian - Berat
goblok enak babi wingi lunga mangan wingi sego aku turu kowe goreng turu wingi,2,Ujaran Kebencian - Sedang
mangan aku dheweke turu wingi dheweke sego,1,Ujaran Kebencian - Ringan
wingi mangan mangan kowe enak dheweke elek lunga aku dheweke jiancok wingi enak wingi,3,Ujaran Kebencian - Berat
babi kowe goreng turu goblok sego pasar dheweke mangan turu goreng goblok babi goblok elek wingi saiki,3,Ujaran Kebencian - Berat
aku elek sego enak goblok elek sego wingi mangan asu pasar sego sesuk kowe pasar apik,3,Ujaran Kebencian - Berat
sesuk sego jiancok goreng dheweke pasar aku goblok asu asu pasar asu pasar sesuk jiancok aku,0,Bukan Ujaran Kebencian
apik dheweke babi dheweke apik aku goblok mangan asu lunga pasar mangan sesuk lunga aku asu lunga sesuk,2,Ujaran Kebencian - Sedang
goreng elek kowe goreng dheweke aku elek jiancok jiancok asu jiancok goblok aku aku lunga babi enak,1,Ujaran Kebencian - Ringan
kowe turu enak pasar lunga dheweke goblok goreng sesuk turu,0,Bukan Ujaran Kebencian
apik goreng asu pasar aku enak goblok goreng aku sesuk goreng jiancok wingi saiki goblok,2,Ujaran Kebencian - Sedang
kowe goreng apik sego jiancok enak lunga goblok kowe goreng jiancok mangan lunga pasar jiancok lunga wingi asu pasar,1,Ujaran Kebencian - Ringan
wingi wingi turu turu sego turu apik goreng lunga dheweke jiancok babi,1,Ujaran Kebencian - Ringan
pasar asu jiancok aku sego saiki wingi goreng babi kowe kowe turu aku enak jiancok sego,1,Ujaran Kebencian - Ringan
dheweke mangan lunga pasar asu babi turu dheweke sesuk sesuk kowe mangan elek pasar sego apik lunga mangan dheweke,0,Bukan Ujaran Kebencian
elek lunga aku asu babi mangan goblok enak turu aku kowe jiancok elek pasar sesuk pasar goreng sesuk,3,Ujaran Kebencian - Berat
apik saiki saiki sesuk jiancok enak pasar mangan enak turu sesuk goreng saiki lunga pasar,2,Ujaran Kebencian - Sedang
asu wingi mangan kowe enak jiancok aku asu pasar babi jiancok apik,0,Bukan Ujaran Kebencian
sego goreng sego jiancok enak lunga enak sego kowe apik dheweke turu saiki sesuk kowe goreng,2,Ujaran Kebencian - Sedang
wingi turu jiancok dheweke babi,2,Ujaran Kebencian - Sedang
jiancok apik sego jiancok enak kowe aku goreng dheweke kowe sesuk jiancok wingi elek asu lunga apik mangan kowe,3,Ujaran Kebencian - Berat
apik babi asu dheweke jiancok jiancok goblok saiki asu goblok babi saiki asu jiancok,3,Ujaran Kebencian - Berat
sego aku jiancok sego dheweke sego kowe sego goreng dheweke pasar jiancok wingi saiki,2,Ujaran Kebencian - Sedang
dheweke aku wingi kowe enak wingi asu turu asu apik dheweke asu pasar sego sesuk goreng aku saiki,3,Ujaran Kebencian - Berat
wingi apik mangan babi asu goblok dheweke mangan asu saiki pasar lunga,3,Ujaran Kebencian - Berat
lunga babi jiancok goblok enak lunga apik elek kowe mangan sego jiancok wingi enak asu jiancok apik,2,Ujaran Kebencian - Sedang
apik elek saiki babi elek enak pasar turu babi,1,Ujaran Kebencian - Ringan
elek asu sesuk lunga goreng asu apik sesuk turu sesuk,3,Ujaran Kebencian - Berat
enak saiki sesuk sesuk asu enak wingi mangan sego pasar sego enak,2,Ujaran Kebencian - Sedang
wingi apik goreng wingi babi goreng wingi aku,0,Bukan Ujaran Kebencian
