text,category,label
"Kabeh preman berjubah iku munafik, mung nggo ngrusak nama Islam, luwih becik dibasmi.",severe,3
"Wong-wong sing ndhukung LGBT iku penyakit masyarakat, kudu diusir saka désa iki, aja nganti nular.",severe,3
"Pemimpiné wong liya iku dadi antek asing, bakal tak runtuhké lan kulawargané tak pundhut nyawane.",severe,3
"Golongan iku mung tukang ngumbar fitnah, awake dewe sing bener, kabeh liyane kafir lan kudu diperangi.",severe,3
"Wong Jawa asli aja nganti dikalahké karo wong pendatang, ayo kita ganyang lan usir wong-wong sing mlebu tanpa ijin kasebut.",severe,3
"Wong Sunda mah tukang ngaret terus, ora bisa diandelke.",regional,2
"Aku ora gelem nyambut gawe karo wong Batak, kasar lan tukang ngamuk.",regional,2
"Wong Madura iku kethèk, mung ngerti dagang sate lan carok.",regional,2
"Aja cedhak karo wong Papua, goblok lan mung pinter mabuk.",regional,2
"Wong Kalimantan iku kampungan, uripé nèng alas terus bodho.",regional,2
"Wong Maluku iku keras lan galak, kaya preman terus.",regional,2
"Seng nggawa proyek mesti wong Jawa, tukang nyolong lan jilat atasan.",regional,2
"Wong Bali iku mung pinter nggombal turis, lakune alus nanging nipu.",regional,2
"Aja percaya karo wong Sumatra, licik lan tukang nipu dagang.",regional,2
"Wong NTT iku miskin lan kotor, mung cocog dadi babu.",regional,2
Politikus iku mung tukang nyolong duwit rakyat.,politics,2
"Wong-wong nang kana korupsi terus, rakyat nandang mlarat.",politics,2
"Pemerintah iki bodho banget, ora mikirke wong cilik.",politics,2
"Kebijakane mung nguntungke wong sugih, awake dewe dipinggirke.",politics,2
"Sing dadi pejabat akeh sing lacur, moralé ambruk.",politics,2
"Pemerintah iku goblok, ora bisa ngatasi rega sembako.",politics,2
"Milih-milih wong sing akhiré mung ngibul, janji palsu.",politics,2
"Korupsi wis dadi penyakit, nanging ora ana sing ditangkep serius.",politics,2
"Wakil rakyat kok mlaku-mlaku nang mall karo mobil mewah, duwité saka endi?",politics,2
"Rezim iki cuma mbiyantu konglomerat, rakyat dicekik karo pajak.",politics,2
"Wah, tetangga kok lagune podo nganti tekan kene, koyo lagi latihan karawitan neng ngarepe omahku.",neighbors,1
"Barange tak celuk mboten kondur-kondur, mbok kiro dipun gawe koleksi pribadi.",neighbors,1
"Sampeyan kerep banget mirengake obrolan wong liya, kayane pengin pindah profesi dadi detektif.",neighbors,1
"Klambi tak celuk minggu kepungkur, saiki wis dadi kenang-kenangan.",neighbors,1
"Wes sore kok isih ana sing nyetel radio keras-keras, kayane pengin ngabari kabeh warga jam sak jam.",neighbors,1
"Sampeyan kerso nggawe keputusan neng urusanku, koyo sing duwe usaha iku dhewe.",neighbors,1
"Teko lan piringku kari separo, mbok menawi badhe dipun kumpulake dados museum barang pinjaman.",neighbors,1
"Waktu istirahtaku dadi latihan sabar, mergo tetangganya lagi getol latihan nggawe swara bising.",neighbors,1
Kula mboten ngertos bilih sampeyan gadhah minat ingkang ageng kaliyan urusan kulawarga kula.,neighbors,1
"Mboten usah repot-repot ngganggu, kula sampun gadhah kalender dhewe kanggo ngatur jadwal kula.",neighbors,1
Aku ketemu karo konco nek pasar.,neutral,0
Dheweke lagi nggawa grojogan saka sumur.,neutral,0
Bapak maca koran ing teras.,neutral,0
Anak-anak dolanan ing plataran.,neutral,0
Wong-wong padha antri tuku jajan.,neutral,0
Dheweke nyapu lantai omah.,neutral,0
Aku krungu obrolan saka kamar sebelah.,neutral,0
Kuli angkut barang-barang saka truk.,neutral,0
Wanita iku lagi milih bahan kain ing kios.,neutral,0
"Wong kafir iki kabeh kudu diusir saka tanah Jawa, ora nduweni hak urip neng kene.",severe,3
"Aku bakal nggebugi kabeh wong sing beda agama karo aku, awakmu bakal tumpes.",severe,3
"Kabeh pendatang saka pulo liya aja ngarep-arep urip tentrem, bakal tak bakar omahmu.",severe,3
"Golongan iku mung sampah masyarakat, luwih becik dipateni kabeh.",severe,3
"Wong sing ndhukung partai liya iku pengkhianat bangsa, patenana wae.",severe,3
Aku sumpah bakal ngrusak kabeh tempat ibadahmu nganti ora nyisa.,severe,3
"Kabeh keturunan Cina iku perusak ekonomi, usir wae saka Indonesia.",severe,3
"Wong sing nganggo atribut partai kuwi aja dikasihani, gebugi nganti mati.",severe,3
"Kelompok iku kaya tikus, kudu dibasmi nganti oyot-oyote.",severe,3
"Aku bakal ngirim bom neng kumpulanmu, rasakna patine wong-wong sing beda karo aku.",severe,3
"Wong Sunda mah tukang ngaret, ora bisa diandelke kerjane.",regional,2
"Akeh wong Batak kasar lan tukang ribut, ngomonge asal seru.",regional,2
Wong Madura kui tukang ngamuk lan gampang ditekuk.,regional,2
"Wong Maluku kui panas barane, karo senggol-senggolan langsung gelut.",regional,2
"Wong Lampung kui preman kabeh, tukang minta setoran.",regional,2
Akeh wong Kalimantan kui terbelakang lan kampungan.,regional,2
"Wong Papua kui pemalas, mung nunggu bantuan pemerintah.",regional,2
"Wong Bali kui sombong, mung ngurusi turis lan duwite dewe.",regional,2
"Wong Betawi asline kui udik, wis ilang kuthane malah nyalahke pendatang.",regional,2
"Wong Jawa Timur kui keras lan kolek, tukang main hakim sendiri.",regional,2
Politikus iku mung tukang mbandhog duwité rakyat.,politics,2
"Wong-wong nang pemerintahan iku korup kabeh, rakus dhasar.",politics,2
"Pemerintah iki bodho, ora mikirke wong cilik.",politics,2
"Kebijakane mung nguntungke wong sugih, awaké dewe ditelikung.",politics,2
"Sing dadi pejabat mung ngoyak jabatan, kerjane ngapusi.",politics,2
"Pungli wis dadi budaya nang ngendi-endi, negara iki wis busuk.",politics,2
"Pemerintah iku goblok, rakyat sengsara dienggo dolanan.",politics,2
Partai politik iku sarangé para maling berdasi.,politics,2
"Janjine mung jare wae, mbohongi kabeh wong.",politics,2
"Kabeh partai padha wae, tokroké padha doyan sogokan.",politics,2
"Wah, tetangga kuwi kaya lagi latihan karawitan ning tengah wengi, nek ora ngerti wektu.",neighbors,1
"Barange tak lembari, kok malah dadi barang warisan sing ora bisa dienggo balik.",neighbors,1
"Kepriwe kabare, Bu? Kok swarane televisi sampeyan luwih jelas tinimbang ning omah dhewe.",neighbors,1
"Wes dadi ahli statistic ya, Pak? Saben aku arep metu kudu ditakoni tujuan lan jam mulih.",neighbors,1
"Sokur nek pinjame diblanjai, nanging nek wis tekan tangan kaya ilang memori.",neighbors,1
"Waduh, nek ngomong kaya ana pengeras suara, ning ngrasakke swarane wae wis cukup.",neighbors,1
"Kula mboten saget ndeleng acara TV, Pak. Nanging critane Pakdhe saking tembok nggih sampun katingal.",neighbors,1
"Wes dadi kurir ya, Bu? Nek takon kabar marang kanca-kanca kabeh lewat sampeyan.",neighbors,1
"Barangku kaya wis dadi warga ning omah sampeyan, Bu, pancen betah ora bali-balik.",neighbors,1
"Nek arep ngrungokake crita kehidupan, mending buka TV. Nanging iki critane tetangga, luwih seru lan langsung sakdurunge.",neighbors,1
Aku ketemu karo konco lawas ing dalan.,neutral,0
Bapak maca koran ing ruang tamu.,neutral,0
Adhine ngunjuk teh panas sawise mulih sekolah.,neutral,0
Wong-wong padha antri ing kios buah.,neutral,0
Dheweke nggawa tas belanjaan sing gedhe.,neutral,0
Kancaku menehi kabar babagan acara reuni.,neutral,0
Anak-anak dolanan ing plataran omah.,neutral,0
Dheweke masak sega goreng kanggo sarapan.,neutral,0
Wong lanang iku numpak sepedha menyang warung.,neutral,0
"Wong kafir iki kudu diusir saka tanah Jawa, ora nduwé hak urip nèng kéné.",severe,3
Aku bakal ngobong gréja-gréjamu nganti dadi awu merga agamamu iku sesat.,severe,3
"Wong saka pulo liya iki maling lapangan kerjo, padha balik menyang asalé wae.",severe,3
Kabeh wong sing ndhukung partai iku pancen goblok lan kudu ditumpes.,severe,3
"Yèn wong kelompok iku mèlu pemilu, aku siap perang dadi jihad.",severe,3
"Wong-wong sing beda sukuku iki asu, kudu dicekel lan dipateni.",severe,3
Aku bakal nyiksa kabeh keturunané wong sing nindhes leluhurku.,severe,3
"Kelompok iki kaya tikus, ngerusak negara, kudu dibasmi nganti oyot-oyoté.",severe,3
"Wong agama liya iku najis, aja nganti nyemplung nèng kali suci kita.",severe,3
Generasi pemuda saka suku iku kudu dibantai biar ora mbalang manèh.,severe,3
"Wong Sunda mah tukang ngaret, janjine ora bisa digugu.",regional,2
Akeh wong Batak kasar lan gampang dadi tukang gelut.,regional,2
"Wong Madura kui seng nggowo celeng mangan bocah, aja dipercoyo.",regional,2
"Orang Papua kan goblok, mending dikirim balik neng hutan.",regional,2
"Wong Kalimantan kui kampungan, uripe ketinggalan jaman.",regional,2
"Akeh wong Maluku mabokan terus, otake mung ngawur.",regional,2
"Wong Bali kui pura-pura suci, nanging tukang nipu turis.",regional,2
"Suku Dayak kuno lan biadab, seneng ngayau kaya jaman dulu.",regional,2
"Wong Betawi males lan tukang ngamen, ora duwe prestasi.",regional,2
Akeh transmigran Jawa sing ngerusak tanah lan nyulik rejekine wong asli.,regional,2
Wong-wong nang kono korupsine wes dadi budaya.,politics,2
"Pemerintah iki gemblung, ora ngerti kesusahan wong cilik.",politics,2
"Kebijakane mung nguntungke wong sugih, awake dewe.",politics,2
"Sing mrentah saiki akeh sing jancuk, rakus lan ora jujur.",politics,2
"Ora usah milih maneh, kabeh padha tukang nipu.",politics,2
"Kerjane mung ngapusi, janji-janjine mung sejene.",politics,2
Negara iki rusak amarga wong sing pinter nilep.,politics,2
"Dasar pamrentah bodho, rakyat sengsara dikongkon diam.",politics,2
"Wong-wong nang DPR iku maling berdasi, goblok lan ora mikirke rakyat.",politics,2
"Wah, tetangga kita seneng banget karo musik, nggak kuat aku ngrungokne sampeyan, Pak.",neighbors,1
"Kulo mboten purun nyuwun, nanging menawi badhe nyade toya, kula gadhah gayung ingkang sampun ilang.",neighbors,1
"Lho, sepur mlebu omah ta? Swarane koyo deru terus, Bu.",neighbors,1
"Barange kaya dheweke sing duwe, nanging sakjane kon nyilih nggak diwalesi.",neighbors,1
"Kula kepengin ngalem radio, Pak, nanging kula mboten gadhah antena kados panjenengan.",neighbors,1
"Wah, kanca wingi teka arep takon, kok kaya-kaya sudah tahu saja urusan dalam rumah.",neighbors,1
"Mboten usah kersa dhumateng tetangga, Pak, kula mboten gadhah tuku kunci lemari.",neighbors,1
"Sampeyan rajin banget ngrumat tetangga, Bu, sampyan kula ugi dipun rumati.",neighbors,1
"Wes dadi alarm alamiah, jam setengah lima wes ramai kaya pasar.",neighbors,1
"Kula mboten saged ndeleng televisi, Pak, sinetronipun sampun kasil dipun pirsa saking swantenipun.",neighbors,1
Aku ketemu karo konco lan ngobrol nang pinggir dalan.,neutral,0
Bapak maca koran ning ruang tamu.,neutral,0
Adhek ngunjuk teh panas sawise mulih sekolah.,neutral,0
Wong-wong padha lalu lalang ing dalan menuju pasar.,neutral,0
Dheweke menehi salam marang tangga teparo.,neutral,0
Kancaku menehi kabar liwat telpon.,neutral,0
Ibu masak sega goreng kanggo sarapan.,neutral,0
Aku ndelok toko iki buka jam pitu esuk.,neutral,0
"Wong kafir iki kudu diusir saka tanah Jawa, merga mung ngrusak kabudayan lan iman leluhur.",severe,3
"Kabeh wong saka suku iku pancen tukang nyolong lan perusuh, kudu dibabat nganti oyot-oyote.",severe,3
"Aja cedhak karo wong golongan kuwi, dheweke iku kader setan sing arep ngrusak negara.",severe,3
Wong-wong sing beda karo awake dhewe iku sampah masyarakat sing kudu dibersihke.,severe,3
"Aku arep ngobong omah-omahe wong golongan iku, supaya padha ngerti rasane dijajah.",severe,3
"Kabeh pengikut aliran sesat kasebut kudu ditumpes, mateni kabeh wong lanang, wadon lan anak-anak.",severe,3
"Wong saka pulo liya iku maling sumber daya, kudu dicekel lan digantung ing alun-alun.",severe,3
Aku sumpah bakal ngganyang lan mateni siji-sijine wong saka kelompok iku sing nemoni aku.,severe,3
"Kabeh pengkhianat bangsa iku asale saka suku iku, kudu diusir bali menyang negara asale.",severe,3
"Wong-wong sing ngaku pahlawan iku tukang fitnah, kudu dibantai kabeh supaya negara tentrem.",severe,3
"Akeh wong Batak kasar lan emosian, koyo kebak geni.",regional,2
"Wong Madura kan tukang celak, sithik-sithik gelut.",regional,2
"Aja pacaran karo wong Papua, awakmu isuk-isuk ilang didhelik.",regional,2
"Wong Kalimantan kui terbelakang, urip neng alas terus.",regional,2
"Wong Maluku kalo marah mbledhos, atine ati-ati.",regional,2
"Suku A*eh tukang tipu, dagang bae ngono.",regional,2
"Wong Jawa Timur kasar-kasar, omongane nyaring koyo tukang becak.",regional,2
"Aja percaya karo wong Bali, tukang ngibul nggayuh turis.",regional,2
"Wong NTT mung pantes dadi pembantu, ojo dipajekke.",regional,2
"Politikus iku mung tukang nyolong duwit rakyat, goblok!",politics,2
"Wong-wong nang kono korupsi terus, rakyat nandang mlarat.",politics,2
"Pemerintah iku bodho, ora mikirke wong cilik.",politics,2
"Kebijakane mung nguntungke wong sugih, awakmu dewe diwalesi.",politics,2
"Wong jujur saiki wis langka, sing akeh maling berdasi.",politics,2
"Mimpin negara kok ngawur, kaya bocah dolanan.",politics,2
"Janji-janjine mung kepalsuan, mbok golek pangan dewe.",politics,2
"Ora usah milih, podo wae bakal nggiling rakyat.",politics,2
"Dasar pamrentah edan, gawe urusan mung angel.",politics,2
"Kabeh partai podo kemaki, rakyat sing ditelikung.",politics,2
"Wah, klambi anyarku kok ra ono ning gantungan, mbok ya dijaga wae yen diampilake.",neighbors,1
"Bapake pancen pinter, nek ngomong karo dinding suarane podo kenceng.",neighbors,1
"Lho, jam pira saiki? Aku kira esuk-esuk, ternyata bengi to, swarane koyo pasar.",neighbors,1
"Wah, sepedane mas disimpen neng kene wae, tak kiro wis dadi koleksi.",neighbors,1
"Kok aku nggoleki sapuku suwe banget, mbok ya bali nek wis rampung nganggo.",neighbors,1
"Nek arep nanggap wayang, ngomong nggih, aku gelem nyewakake pekarangan.",neighbors,1
"Wah, ibu pancen telaten banget, urusane siji-siji didadekke urusan kabeh wong.",neighbors,1
"Kebonku saiki isine macem-macem, tandurane wong liyo ugo ono.",neighbors,1
"Nek ngomong karo HP, koyo ngomong karo wong seberang laut, nganti kabeh wong ngerti.",neighbors,1
"Aku kiwa-tengen nggoleki barangku, kok rasane dadi barang umum.",neighbors,1
Bapak maca koran ing teras omah.,neutral,0
Wong-wong padha antri mbayar ing kasir.,neutral,0
Dheweke nggawa tas belanjaan sing isine woh-wohan.,neutral,0
Simbah nyapu pekarangan saben esuk.,neutral,0
Kancaku menehi kabar babagan rencana minggu ngarep.,neutral,0
Ibu arep masak sega goreng kanggo nedha bengi.,neutral,0
Aku ngrungokake radio nalika nyiapake tugas.,neutral,0
"Wong kafir kabeh kudu diusir saka tanah Jawa, ora gelem urip bebarengan karo wong Islam sejati.",severe,3
Aku bakal ngobong gréja-gréjamu nganti dadi awu merga kowe wong Kristen mung ngganggu ketentraman.,severe,3
"Wong-wong saka pulo liya iki maling, perusak, lan bakal tak gebugi mati nek isih wani nempel nang kene.",severe,3
"Golongan iku kabeh antek asing, pancen kudu dibasmi kaya tikus ing sawah.",severe,3
Aku sumpah arep nyiksa kabeh leluhurmu sing beda keyakinan karo aku.,severe,3
"Wong liya sing teka nang desa iki kabeh bajingan, aja nganti diampuni, patenana wae.",severe,3
"Kabeh wong sing ndhukung partai iku kayak sampah, bakal tak bersihkan nganggo getih.",severe,3
"Nek kowe isih ndhukung kelompok kafir, aku bakal gorok gulu kowe lan sedulur-sedulurmu.",severe,3
"Wong-wong saka suku iku kabeh setan, ora pantes nyemplung nang bumi Jawa.",severe,3
"Aku bakal ngrusak kabeh papan ibadahmu nganti ora bisa digunakake maneh, merga kowe penghianat bangsa.",severe,3
"Wong Sunda kok sok ngaku pinter, akeh sing mung tukang korupsi.",regional,2
"Wong Batak kasar-kasar, koyo kebo digiring ke pasar.",regional,2
"Orang Madura tukang bacok, mending dijauhi wae.",regional,2
"Wong Kalimantan ketinggalan jaman, urip neng hutan terus.",regional,2
"Wong Papua bodho-bodho, dikasih otonomi khusus yo ra bisa maju.",regional,2
"Akeh wong Maluku tukang rusuh, bawa-bawa agama.",regional,2
"Wong Bali bisane mung nggodhog turis, agama'e aneh.",regional,2
"Orang Betawi asline tukang ngamen, kampungan.",regional,2
Wong Jawa Timur kasar lan tukang selingkuh.,regional,2
Akeh transmigran Jawa sing ngerampas tanah wong asli.,regional,2
Wong-wong nang kana korupsine wes dadi budaya.,politics,2
"Pemerintah iki goblok, ora mikirke wong cilik.",politics,2
Cangkem mung manis nanging tumindak nyolong.,politics,2
Wakil rakyat? Wakil kepentingan dhewe!,politics,2
"Kabeh partai padha wae, asline tukang nipu.",politics,2
"Rezim iki ora ngrungokke swara rakyat, kaya wong budeg.",politics,2
"Janjine mung jare wae, mboh diwujudke.",politics,2
Pungli lan korupsi wes kaya penyakit sing ora bisa waras.,politics,2
"Wah, tetangga kok sibuk banget kaya tukang reparasi, nggak tau kapan waktunya istirahat.",neighbors,1
"Kula nuwun, menawi pinten-pinten kathok krama kula ingkang dipun-ginakaken, mugi-mugi saged dipun-wangsulaken.",neighbors,1
"Lho, sampeyan kok lebih sering nandur di kebonku daripada di kebon sendiri.",neighbors,1
"Wes dadi ahli ukur ya, nek ngukur urusan wong liyo.",neighbors,1
"Mboten ngeremuh, nanging klambi kula ingkang dipun-silih menika sae dipun-wangsulaken, badhe kula anggo kondur.",neighbors,1
Kok swarane speaker luwih banter tinimbang adegan perang ning film.,neighbors,1
"Sampeyan kula anggep sedherek, nanging menawi nyerat wasiat, kula mboten kalebet.",neighbors,1
"Wah, nek arep nyambut gawe dadi tukang bangunan, tolong jam-jam istirahat dihormati.",neighbors,1
"Kula mboten gadhah masalah, nanging kados pundi menawi barang kula ingkang dipun-silih dipun-gadahi kemawon?",neighbors,1
"Sampeyan pancen peduli banget karo urusanku, meh kaya ibu kandung dewe.",neighbors,1
Simbah nyapu pekarangan omah saben esuk.,neutral,0
Aku masak sega goreng kanggo nedha bengi.,neutral,0
Anak-anak padha dolanan ing plataran.,neutral,0
"Wong kafir iki kudu diusir saka tanah Jawa, mergo mung ngrusak tradisi leluhur kita.",severe,3
"Kabeh wong saka suku iku kudu dicekel lan dipateni, mergo dheweke iku tukang nggowo bala.",severe,3
"Aja cedhak karo wong kelompok kuwi, dheweke iku bangsa penghianat sing kudu dibasmi.",severe,3
Wong-wong sing beda keyakinan karo kita iku sampah masyarakat sing ora pantes urip.,severe,3
Aku bakal ngobong omah-omahe wong golongan kasebut nganti ompong kabeh.,severe,3
"Kabeh keturunan iku kudu disingkirake, mergo dheweke iku sumber sengsara ing negara iki.",severe,3
"Wong-wong saka pulo sebelah iku parasit, nyolong rejekine wong asli kene.",severe,3
Aku arep nyiksa kabeh anggota kelompok kuwi nganti jeritane mbledug sak desa.,severe,3
"Generasi mudane golongan kae kudu dicekel lan dikubur urip-urip, supaya ora nambah akeh.",severe,3
"Kabeh pengikut aliran sesat kasebut kudu ditumpes, mateni wae kabeh tanpa sisa.",severe,3
"Wong Sunda mah tukang ngaret, janjine ora ditepati.",regional,2
Akeh wong Batak kasar lan sok ngatur-ngatur wong liya.,regional,2
Wong Madura kui tukang gelut lan golek pakuwe.,regional,2
Akeh wong Lampung mung ngerti mbolos lan ngerampok.,regional,2
"Wong Kalimantan ketinggalan jaman, uripé isih primitif.",regional,2
Wong Papua lembek lan mung nunggu bantuan pemerintah.,regional,2
"Wong Maluku panas barane, cilik-cilik dikit langsung baku hantam.",regional,2
Wong Bali mung ngerti nyolong lahan lan nipu turis.,regional,2
Wong Jawa Timur kasar lan budheké nggragas.,regional,2
Akeh transmigran saka Jawa sing matre lan doyan nyempil tanah wong.,regional,2
"Pemerintah iku goblok, ora mikirke kahanan wong cilik.",politics,2
"Kebijakane mung nguntungke wong sugih, awakmu ditaleni.",politics,2
"Sing dadi pejabat akeh sing edan, duwe pengkat rakus.",politics,2
"Pemerintah iku tukang nipu, janjine ora ditepati.",politics,2
"Ora usah milih pemimpin maneh, kabeh padha bejat.",politics,2
"Korupsi wis dadi budaya, negara bakal cures.",politics,2
"Wakil rakyat kok mung ngomong doang, lakune nggak nyambung.",politics,2
"Pemerintah iku kaya bedhog, mangan nggremengi awake dhewe.",politics,2
"Wah, tetangga kok sibuk banget kaya pabrik tenun, nggak tau kapan istirahe.",neighbors,1
"Kula mboten purun nyuwun barangipun, mboten kepanggih kapan kersane balik.",neighbors,1
Lha sampeyan kok lebih pinter ngatur urusanku daripada urusan dapur sampeyan dewe.,neighbors,1
"Wes sore kok krungu swara kaya lagi latihan gamelan, nanging mboten wonten undangane.",neighbors,1
"Barange entek entekan, ning nek tak jaluk balik kok rasane kaya ndadak dadi barang warisan.",neighbors,1
"Kok rasane uripku selalu diwenehi komentar, padahal aku mboten nate nyuwun pendapat.",neighbors,1
"Wes kaya tukang kritik bayaran, nanging mboten pernah ngewangi.",neighbors,1
"Mboten sare, mboten tilem, amargi tetangganipun lagi latihan dhawuh-dhawuh.",neighbors,1
"Lha nek arep nyilih, gelem. Ning nek arep njaluk balik, kudu nggowo bukti kepemilikan.",neighbors,1
"Kula mboten gadhah televisi, amargi crita-crita saking njaba sampun kathah piyambak.",neighbors,1
Aku ketemu karo konco ngobrol nang pinggir dalan.,neutral,0
Adhek ngunjuk teh anget sakdurunge sekolah.,neutral,0
Wong-wong padha lalu lalang neng dalan menyang pasar.,neutral,0
Dheweke mangan sega becek karo lawuh tempe.,neutral,0
Keluarga ngrungokake radio bareng-bareng sore iku.,neutral,0
"Wong kafir iki kabeh kudu diusir saka tanah Jawa, ora gelem urip bebarengan karo wong Islam sing suci.",severe,3
"Kabeh wong sing beda agama karo aku iku mahluk najis, kudu dibasmi nganti oyod-oyode.",severe,3
"Aku bakal ngobong gréja-gréjamu nganti dadi awu, merga iku papan nyembah setan.",severe,3
"Wong saka suku iku kaya kéwan, ora pantes nyemplung ing kutha iki, balik neng alas wae.",severe,3
"Kabeh pendatang saka pulo liya iku perampas rejeki, kudu digebugi lan dipepehi.",severe,3
"Aku sumpah bakal matèni kabeh wong sing ndhukung kelompok iku, sikile bakal tak gantung ing wit.",severe,3
"Wong-wong sing ngaku pancasila iki hipokrit, bangsane mung kudu dipimpin dening wong saka golonganku.",severe,3
"Kelompok iku iku sampah masyarakat, kudu dibuang menyang laut kabeh.",severe,3
"Aku bakal ngganyang lan ngrusak omah-omahmu, merga kowe wis ngina leluhurku.",severe,3
"Kabeh wong sing nganggo atribut iku pantese diarak lan digebugi nganti mati, aja nganti ana sing urip.",severe,3
Wong Sunda mah bisane mung jadi babu wae.,regional,2
Aku ora gelem diomongke wong Madura soale tukang ngamuk.,regional,2
Wong Batak kasebut kasar lan kethok kepala batu.,regional,2
"Lha wong Papua kan goblok, mung cocok kerja kasar.",regional,2
"Aku wedi tuku dagangan wong Minang, bakal ditipu mesthi.",regional,2
"Wong Kalimantan kui kampungan, urip neng alas.",regional,2
Wong Maluku kabeh galak-galak lan gampang dadi panas.,regional,2
"Sikile wong Bali kotor, aja nganti cedhak karo aku.",regional,2
"Wong Jawa iki licik banget, karo sedulure dhewe digowo nggrayangi.",regional,2
Wong NTT kui mung pantes dadi kuli bangunan.,regional,2
"Wong-wong nang kana korupsi terus, rakyat nandang lara.",politics,2
"Kebijakane mung nguntungke wong sugih, awak dewe dipepet.",politics,2
"Sing dadi pejabat akeh sing jancuk, ngumbar janji nanging mung ngapusi.",politics,2
"Korupsi wis dadi budaya, akeh wong nggolek slamet dewe.",politics,2
"Pemerintah iku budheg, rakyat njerit ora krungu.",politics,2
"Wakil rakyat padha mblenger, mung ngomong doang, gawean ora nyata.",politics,2
"Akeh pejabat sing duwe mental maling, nyolong anggaran negara.",politics,2
"Pemerintah gagal, urusan negara dibikin bobrok kabeh.",politics,2
"Wah, tetangga kuwi kaya lagi latihan karawitan ning tengah wengi, nek ora mangertine aku arep kerja esuk.",neighbors,1
"Barange sing tak pindahekno kok rasane dadi melu pindah omah, Bu?",neighbors,1
"Kulo mboten saget ndherek rembugan, nanging swantenipun sampun ngantos mlebet griya kulo.",neighbors,1
"Wes dadi ahli ukur ya, Lek, saben aku gawe sethithik wae langsung diukur karo sampeyan.",neighbors,1
"Klambi tak jemur wingi, saiki wis dadi koleksi museum tetangga, kayane.",neighbors,1
"Nek arep nyambut gawe, kula badhe ngaturaken pakurmatan, nanging menawi wonten swanten ingkang mboten kepareng.",neighbors,1
"Wah, sepur barangku kok ilang jalur, mbok sing nyewa ora gelem bali maneh.",neighbors,1
"Kula nuwun, napa kersanipun ndhukung kula saben dinten kanthi swantenipun?",neighbors,1
"Aku ki ngerti sampeyan seneng banget karo sepedhaku, ning mbok ya baline sakdurunge aku tuku sing anyar.",neighbors,1
"Mboten usah repot-repot ngintip jam tangan kula, Pak, kula badhe aturi jam piro kula wangsul.",neighbors,1
Adhek ngunjuk teh anget sakderenge menyang sekolah.,neutral,0
Wong-wong padha mlaku-mlaku ning dalan sawise mangan sore.,neutral,0
Kula ndeleng televisi bengi iki.,neutral,0
Simbah nyapu pekarangan omah.,neutral,0
Kancaku nggawa tas isi buku-buku.,neutral,0
